E T I
0.57 2449 4
0.92 2450 4
0.56 2451 4
0.76 2452 4
0.40 2453 4
0.93 2454 4
0.66 2455 4
0.67 2456 4
0.76 2457 4
0.60 2458 4
0.76 2459 4
0.63 2460 4
0.83 2461 4
0.44 2462 4
0.67 2463 4
0.89 2464 4
0.70 2465 4
0.76 2466 4
1.03 2467 4
0.88 2468 4
1.14 2469 4
0.82 2470 4
1.02 2471 4
0.80 2472 4
1.18 2473 4
0.56 2474 4
0.62 2475 4
1.09 2476 4
0.70 2477 4
0.67 2478 4
0.61 2479 4
0.80 2480 4
0.56 2481 4
0.85 2482 4
0.57 2483 4
0.60 2484 4
0.80 2485 4
0.91 2486 4
0.97 2487 4
0.69 2488 4
0.69 2489 4
0.95 2490 4
0.68 2491 4
0.74 2492 4
0.93 2493 4
0.83 2494 4
0.62 2495 4
0.63 2496 4
0.72 2497 4
0.62 2498 4
0.58 2499 4
0.54 2500 4
0.95 2501 4
1.25 2502 4
0.52 2503 4
0.52 2504 4
0.68 2505 4
0.73 2506 4
0.68 2507 4
0.61 2508 4
0.76 2509 4
0.54 2510 4
0.73 2511 4
0.64 2512 4
0.52 2513 4
0.63 2514 4
0.73 2515 4
0.76 2516 4
0.67 2517 4
0.75 2518 4
0.59 2519 4
0.40 2520 4
0.89 2521 4
0.80 2522 4
0.96 2523 4
0.74 2524 4
0.82 2525 4
0.82 2526 4
0.76 2527 4
0.92 2528 4
0.75 2529 4
0.63 2530 4
0.87 2531 4
0.45 2532 4
-0.15 2533 4
0.67 2534 4
0.73 2535 4
0.42 2536 4
1.04 2537 4
0.75 2538 4
0.63 2539 4
0.79 2540 4
0.75 2541 4
0.86 2542 4
0.72 2543 4
0.40 2544 4
0.82 2545 4
0.76 2546 4
0.48 2547 4
0.94 2548 4
0.59 2549 4
0.73 2550 4
0.73 2551 4
0.81 2552 4
0.53 2553 4
0.68 2554 4
0.45 2555 4
0.80 2556 4
0.53 2557 4
0.81 2558 4
0.85 2559 4
0.54 2560 4
0.49 2561 4
0.68 2562 4
0.45 2563 4
0.83 2564 4
0.55 2565 4
0.42 2566 4
0.47 2567 4
0.56 2568 4
0.73 2569 4
0.89 2570 4
0.98 2571 4
0.62 2572 4
0.77 2573 4
0.86 2574 4
0.74 2575 4
0.72 2576 4
0.42 2577 4
0.84 2578 4
0.47 2579 4
0.71 2580 4
0.61 2581 4
0.50 2582 4
0.38 2583 4
0.59 2584 4
-0.07 2585 4
0.18 2586 4
0.63 2587 4
0.78 2588 4
0.74 2589 4
0.50 2590 4
0.37 2591 4
0.35 2592 4
0.54 2593 4
0.31 2594 4
0.65 2595 4
0.59 2596 4
2.28 2597 4
0.72 2598 4
1.01 2599 4
0.63 2600 4
0.13 2601 4
0.72 2602 4
0.59 2603 4
0.57 2604 4
0.58 2605 4
0.60 2606 4
0.68 2607 4
1.56 2608 4
0.53 2609 4
0.43 2610 4
0.60 2611 4
0.99 2612 4
0.65 2613 4
0.75 2614 4
0.86 2615 4
1.27 2616 4
0.79 2617 4
0.56 2618 4
0.83 2619 4
0.01 2620 4
-0.08 2674 4
-0.01 2675 4
-0.18 2676 4
-0.18 2677 4
-0.09 2678 4
-0.07 2679 4
-0.02 2680 4
-0.03 2681 4
-0.28 2682 4
-0.20 2683 4
0.05 2684 4
0.01 2685 4
-0.06 2686 4
0.05 2687 4
0.86 3217 5
0.31 3218 5
1.00 3219 5
-0.45 3220 5
0.48 3221 5
-1.16 3222 5
0.31 3223 5
-0.46 3224 5
0.06 3225 5
0.19 3226 5
0.12 3227 5
0.63 3228 5
0.12 3229 5
0.10 3230 5
0.60 3231 5
0.25 3232 5
-0.41 3233 5
0.36 3234 5
-0.03 3235 5
0.01 3236 5
-0.07 3237 5
0.00 3238 5
-0.08 3239 5
0.36 3240 5
0.21 3241 5
-0.08 3242 5
-0.24 3243 5
0.17 3244 5
-0.28 3245 5
-0.17 3246 5
0.01 3247 5
0.05 3248 5
-0.20 3249 5
-0.19 3250 5
-0.34 3251 5
-0.04 3252 5
-0.16 3253 5
-0.11 3254 5
-0.12 3255 5
-0.14 3284 5
0.01 3285 5
-0.00 3286 5
-0.19 3287 5
0.10 3323 5
-0.05 3324 5
-0.20 3325 5
-0.09 3326 5
-0.04 3359 5
0.15 3360 5
-0.07 3361 5
0.08 3362 5
-0.08 3363 5
0.08 3364 5
-0.10 3365 5
0.00 3366 5
-0.08 3367 5
0.09 3368 5
0.08 3369 5
0.12 3370 5
0.04 3371 5
-0.00 3372 5
-0.01 3373 5
-0.14 3374 5
0.03 3375 5
-0.18 3376 5
-0.18 3377 5
-0.34 3378 5
0.00 3379 5
0.04 3380 5
-0.00 3381 5
-0.07 3382 5
-0.14 3383 5
0.03 3384 5
-0.14 3385 5
-0.15 3386 5
-0.15 3387 5
0.00 3388 5
-0.25 3389 5
-0.07 3390 5
0.05 3391 5
0.04 3392 5
-0.09 3393 5
-0.28 3394 5
-0.15 3395 5
-0.11 3396 5
0.11 3397 5
-0.05 3398 5
-0.06 3399 5
-0.41 3400 5
-0.02 3401 5
0.06 3402 5
-0.11 3403 5
0.05 3404 5
-0.02 3405 5
-0.16 3406 5
0.81 4011 6
0.97 4012 6
0.86 4013 6
0.89 4014 6
1.01 4015 6
0.80 4016 6
0.78 4017 6
0.93 4018 6
0.56 4019 6
0.85 4020 6
0.46 4021 6
1.07 4022 6
0.85 4023 6
0.74 4024 6
0.89 4025 6
0.20 4026 6
0.41 4027 6
0.23 4028 6
0.00 4029 6
-0.09 4050 6
-0.03 4051 6
-0.01 4052 6
0.19 4053 6
-0.00 4054 6
0.13 4055 6
0.18 4056 6
-0.10 4057 6
0.13 4058 6
0.01 4059 6
0.00 4060 6
-0.05 4061 6
-0.04 4062 6
-0.00 4063 6
-0.27 4064 6
-0.10 4065 6
-0.07 4066 6
0.02 4067 6
0.09 4068 6
0.04 4069 6
0.13 4070 6
0.10 4071 6
-0.02 4072 6
0.17 4848 7
0.18 4849 7
-0.04 4850 7
0.16 4851 7
0.12 4852 7
-0.00 4853 7
0.02 4854 7
0.25 4855 7
0.17 4856 7
0.06 4857 7
-0.06 4858 7
0.03 4859 7
0.11 4860 7
0.13 4861 7
-0.03 4862 7
0.02 4863 7
0.11 4864 7
-0.02 4865 7
-0.11 4866 7
-0.08 4867 7
-0.00 4868 7
0.02 4869 7
0.10 4870 7
-0.01 4871 7
-0.08 4872 7
0.33 4873 7
0.03 4874 7
0.64 4875 7
-0.04 4876 7
0.26 4877 7
1.17 4878 7
0.13 4879 7
0.15 4880 7
0.76 4881 7
-0.27 4882 7
0.24 4883 7
-0.09 4884 7
0.47 4885 7
0.75 4886 7
0.31 4887 7
0.40 4888 7
0.64 5612 8
0.70 5613 8
0.60 5614 8
0.69 5615 8
0.66 5616 8
0.70 5617 8
0.68 5618 8
0.61 5619 8
0.76 5620 8
0.64 5621 8
0.50 5622 8
0.71 5623 8
0.60 5624 8
0.64 5625 8
0.83 5626 8
0.75 5627 8
0.77 5628 8
0.57 5629 8
0.58 5630 8
0.70 5631 8
0.81 5632 8
0.70 5633 8
0.74 5634 8
0.58 5635 8
0.49 5636 8
0.35 5637 8
0.46 5638 8
0.80 5639 8
0.82 5640 8
0.76 5641 8
0.69 5642 8
0.72 5643 8
0.91 5644 8
0.73 5645 8
0.63 5646 8
0.71 5647 8
0.71 5648 8
0.62 5649 8
0.73 5650 8
0.79 5651 8
0.68 5652 8
0.65 5653 8
0.58 5654 8
0.86 5655 8
0.70 5656 8
0.64 5657 8
0.75 5658 8
0.61 5659 8
0.67 5660 8
0.88 5661 8
0.91 5662 8
0.58 5663 8
0.72 5664 8
0.63 5665 8
0.65 5666 8
0.63 5667 8
0.83 5668 8
0.87 5669 8
1.04 5670 8
0.84 5671 8
0.84 5672 8
0.83 5673 8
0.87 5674 8
0.89 5675 8
0.93 5676 8
0.61 5677 8
0.73 5678 8
0.87 5679 8
0.93 5680 8
0.78 5681 8
0.73 5682 8
1.04 5683 8
0.59 5684 8
0.59 5685 8
0.65 5686 8
0.94 5687 8
0.64 5688 8
0.86 5689 8
0.86 5690 8
0.97 5691 8
1.03 5692 8
0.92 5693 8
0.86 5694 8
0.68 5695 8
0.73 5696 8
0.85 5697 8
1.00 5698 8
0.70 5699 8
0.80 5700 8
0.98 5701 8
1.16 5702 8
0.88 5703 8
0.88 5704 8
0.86 5705 8
0.80 5706 8
0.57 5707 8
0.74 5708 8
0.75 5709 8
0.71 5710 8
1.00 5711 8
0.67 5712 8
0.76 5713 8
0.82 5714 8
0.72 5715 8
0.75 5716 8
0.51 5717 8
0.85 5718 8
0.84 5719 8
0.63 5720 8
0.82 5721 8
0.53 5722 8
0.78 5723 8
0.54 5724 8
0.72 5725 8
0.56 5726 8
0.65 5727 8
0.91 5728 8
0.84 5729 8
0.91 5730 8
0.82 5731 8
0.78 5732 8
0.92 5733 8
0.74 5734 8
1.22 5735 8
0.78 5736 8
0.87 5737 8
0.87 5738 8
1.00 5739 8
0.71 5740 8
0.91 5741 8
0.64 5742 8
0.79 5743 8
0.84 5744 8
0.65 5745 8
0.73 5746 8
0.92 5747 8
0.96 5748 8
0.95 5749 8
0.78 5750 8
0.85 5751 8
0.70 5752 8
0.78 5753 8
0.61 5754 8
0.65 5755 8
0.97 5756 8
0.73 5757 8
0.64 5758 8
0.74 5759 8
0.73 5760 8
0.62 5761 8
0.60 5762 8
0.73 5763 8
0.97 5764 8
0.82 5765 8
0.74 5766 8
0.78 5767 8
0.60 5768 8
0.76 5769 8
0.82 5770 8
0.76 5771 8
0.66 5772 8
0.69 5773 8
0.98 5774 8
1.16 5775 8
0.55 5776 8
0.37 5777 8
0.61 5778 8
0.96 5779 8
0.81 5780 8
0.85 5781 8
0.90 5782 8
0.66 5783 8
0.77 5784 8
0.87 5785 8
0.78 5786 8
0.88 5787 8
0.74 5788 8
0.71 5789 8
0.80 5790 8
0.75 5791 8
0.79 5792 8
0.73 5793 8
0.69 5794 8
0.67 5795 8
0.71 5796 8
0.90 5797 8
0.89 5798 8
0.87 5799 8
0.94 5800 8
0.83 5801 8
0.68 5802 8
0.77 5803 8
0.73 5804 8
0.84 5805 8
0.80 5806 8
0.83 5807 8
0.52 5808 8
0.91 5809 8
0.87 5810 8
0.72 5811 8
0.75 5812 8
0.82 5813 8
0.69 5814 8
0.59 5815 8
0.68 5816 8
0.81 5817 8
0.94 5818 8
0.66 5819 8
0.93 5820 8
0.75 5821 8
0.58 5822 8
0.63 5823 8
0.83 5824 8
0.80 5825 8
0.84 5826 8
0.49 5827 8
0.83 5828 8
0.66 5829 8
0.80 5830 8
0.82 5831 8
0.61 5832 8
0.66 5833 8
0.66 5834 8
0.69 5835 8
0.65 5836 8
0.62 5837 8
0.74 5838 8
0.77 5839 8
0.91 5840 8
0.87 5841 8
0.86 5842 8
0.98 5843 8
0.70 5844 8
0.85 5845 8
0.64 5846 8
0.68 5847 8
0.90 5848 8
0.92 5849 8
0.97 5850 8
0.61 5851 8
1.03 5852 8
0.97 5853 8
0.77 5854 8
0.94 5855 8
0.87 5856 8
0.98 5857 8
0.85 5858 8
0.61 5859 8
0.81 5860 8
0.90 5861 8
0.73 5862 8
0.61 5863 8
0.40 5864 8
0.68 5865 8
0.91 5866 8
0.75 5867 8
0.79 5868 8
0.65 5869 8
0.74 5870 8
0.88 5871 8
0.86 5872 8
0.90 5873 8
0.90 5874 8
0.90 5875 8
0.72 5876 8
0.89 5877 8
0.83 5878 8
0.69 5879 8
0.75 5880 8
0.56 5881 8
0.63 5882 8
0.50 5883 8
0.84 5884 8
0.75 5885 8
0.75 5886 8
0.65 5887 8
0.55 5888 8
0.79 5889 8
0.81 5890 8
0.79 5891 8
0.91 5892 8
0.68 5893 8
0.80 5894 8
0.70 5895 8
0.63 5896 8
0.71 5897 8
0.81 5898 8
0.56 5899 8
0.74 5900 8
0.70 5901 8
0.71 5902 8
0.78 5903 8
0.85 5904 8
0.71 5905 8
0.87 5906 8
0.88 5907 8
0.76 5908 8
0.77 5909 8
0.69 5910 8
0.59 5911 8
1.38 5912 8
0.72 5913 8
0.87 5914 8
0.79 5915 8
0.85 5916 8
0.76 5917 8
0.74 5918 8
0.73 5919 8
0.69 5920 8
1.00 5921 8
0.74 5922 8
0.72 5923 8
0.65 5924 8
0.72 5925 8
0.94 5926 8
0.75 5927 8
0.58 5928 8
0.68 5929 8
0.48 5930 8
0.89 5931 8
0.70 5932 8
0.67 5933 8
0.57 5934 8
0.62 5935 8
0.55 5936 8
0.65 5937 8
0.82 5938 8
0.77 5939 8
0.70 5940 8
0.62 5941 8
1.13 5942 8
0.76 5943 8
0.87 5944 8
0.78 5945 8
0.75 5946 8
0.43 5947 8
0.77 5948 8
0.85 5949 8
0.69 5950 8
0.82 5951 8
0.61 5952 8
