E T I
0.12 542 1
0.17 543 1
0.42 544 1
-0.01 545 1
0.15 546 1
0.14 547 1
0.02 548 1
-0.11 549 1
0.02 550 1
0.02 551 1
0.22 552 1
-0.08 553 1
0.03 554 1
0.11 555 1
0.18 556 1
0.26 557 1
-0.06 558 1
0.56 559 1
0.09 560 1
-0.03 561 1
0.14 562 1
0.36 563 1
0.18 564 1
0.64 565 1
0.24 566 1
0.18 567 1
0.34 568 1
-0.02 569 1
0.54 570 2
0.83 571 2
0.64 572 2
0.63 573 2
0.80 574 2
0.58 575 2
0.83 576 2
0.86 577 2
0.64 578 2
0.61 579 2
0.75 580 2
0.65 581 2
0.68 582 2
0.87 583 2
0.70 584 2
0.95 585 2
0.62 586 2
0.70 587 2
0.68 588 2
0.71 589 2
0.55 590 2
0.62 591 2
0.59 592 2
0.72 593 2
0.57 594 2
0.71 595 2
0.73 596 2
0.56 597 2
1.00 598 2
0.87 599 2
0.64 600 2
0.85 601 2
0.79 602 2
0.69 603 2
0.94 604 2
0.86 605 2
0.83 606 2
0.90 607 2
0.79 608 2
0.75 609 2
0.70 610 2
0.77 611 2
0.71 612 2
0.66 613 2
0.77 614 2
0.79 615 2
0.65 616 2
0.71 617 2
0.90 618 2
0.80 619 2
0.69 620 2
0.68 621 2
0.79 622 2
0.83 623 2
0.67 624 2
0.90 625 2
0.54 626 2
0.62 627 2
0.75 628 2
0.63 629 2
0.71 630 2
0.57 631 2
0.56 632 2
0.74 633 2
0.71 634 2
0.82 635 2
0.66 636 2
0.66 637 2
0.72 638 2
0.76 639 2
0.69 640 2
0.61 641 2
0.91 642 2
0.66 643 2
0.55 644 2
0.55 645 2
0.80 646 2
0.58 647 2
0.80 648 2
0.71 649 2
0.62 650 2
0.84 651 2
0.48 652 2
0.44 653 2
0.79 654 2
0.63 655 2
0.69 656 2
0.62 657 2
0.58 658 2
0.56 659 2
0.50 660 2
0.55 661 2
0.79 662 2
0.23 663 2
0.25 664 2
0.15 665 2
0.02 666 2
0.26 667 2
0.08 668 2
-0.03 669 2
0.39 670 2
0.46 671 2
0.27 672 2
0.29 673 2
0.30 674 2
-0.01 675 2
0.19 676 2
0.10 677 2
0.15 678 2
0.11 679 2
-0.04 680 2
-0.20 681 2
-0.08 682 2
0.06 683 2
-0.05 684 2
0.21 685 2
0.35 686 2
0.17 687 2
0.08 688 2
0.54 689 2
0.22 690 2
-0.08 691 2
0.04 692 2
0.47 693 2
0.08 694 2
0.12 695 2
0.21 696 2
0.03 697 2
0.16 698 2
0.05 699 2
0.07 700 2
0.22 701 2
0.20 702 2
0.06 703 2
0.35 704 2
0.00 705 2
0.10 706 2
0.14 707 2
0.05 708 2
-0.12 709 2
-0.05 710 2
0.09 711 2
-0.14 712 2
-0.04 713 2
0.22 714 2
0.12 715 2
0.26 716 2
0.41 717 2
0.14 718 2
-0.15 719 2
0.10 720 2
0.04 721 2
0.15 722 2
0.07 723 2
0.27 724 2
0.25 725 2
0.07 726 2
0.11 727 2
0.12 728 2
0.24 729 2
0.45 730 2
0.25 731 2
0.06 732 2
0.09 733 2
-0.08 734 2
0.12 735 2
0.17 736 2
0.17 737 2
0.18 738 2
0.38 739 2
0.11 740 2
0.09 741 2
0.00 742 2
0.09 743 2
0.13 744 2
0.28 745 2
0.01 746 2
0.18 747 2
0.29 748 2
-0.08 749 2
0.08 750 2
0.24 751 2
0.02 752 2
0.28 753 2
0.21 754 2
0.07 755 2
0.03 756 2
0.02 757 2
0.02 758 2
0.17 759 2
0.06 760 2
-0.00 761 2
-0.20 762 2
-0.14 763 2
-0.08 764 2
-0.01 765 2
0.12 766 2
0.16 767 2
0.07 768 2
0.09 769 2
0.35 770 2
-0.04 771 2
0.11 772 2
0.37 773 2
0.83 774 2
0.25 775 2
0.22 776 2
0.28 777 2
0.07 778 2
0.11 779 2
-0.05 780 2
0.21 781 2
0.21 782 2
0.28 783 2
0.49 784 2
0.00 785 2
0.02 786 2
0.34 787 2
0.38 788 2
-0.19 789 2
0.31 790 2
0.63 791 2
0.73 792 2
0.44 793 2
0.50 794 2
0.19 795 2
-0.15 796 2
0.20 797 2
-0.01 798 2
0.11 799 2
0.05 800 2
0.17 801 2
0.06 802 2
0.08 803 2
0.62 804 3
0.67 805 3
0.96 806 3
1.00 807 3
0.97 808 3
0.81 809 3
0.96 810 3
0.74 811 3
1.03 812 3
0.83 813 3
0.83 814 3
0.80 815 3
0.75 816 3
0.88 817 3
0.93 818 3
0.84 819 3
0.98 820 3
0.76 821 3
0.75 822 3
0.84 823 3
0.87 824 3
1.06 825 3
0.98 826 3
0.71 827 3
0.74 828 3
0.78 829 3
-0.16 830 3
0.18 831 3
-0.16 832 3
-0.04 833 3
-0.06 834 3
-0.07 835 3
-0.15 836 3
-0.06 837 3
0.00 838 3
-0.00 839 3
0.91 840 4
0.65 841 4
0.69 842 4
1.08 843 4
0.74 844 4
0.84 845 4
0.60 846 4
0.52 847 4
0.73 848 4
0.41 849 4
0.75 850 4
0.83 851 4
0.90 852 4
0.65 853 4
0.42 854 4
0.30 855 4
0.21 856 4
0.92 857 4
0.23 858 4
0.92 859 4
0.70 860 4
1.08 861 4
0.96 862 4
0.83 863 4
0.54 864 4
0.62 865 4
0.69 866 4
0.70 867 4
0.90 868 4
0.85 869 4
0.84 870 4
0.61 871 4
0.83 872 4
0.57 873 4
0.92 874 4
0.56 875 4
0.76 876 4
0.40 877 4
0.93 878 4
0.66 879 4
0.67 880 4
0.76 881 4
0.60 882 4
0.76 883 4
0.63 884 4
0.83 885 4
0.44 886 4
0.67 887 4
0.89 888 4
0.70 889 4
0.76 890 4
1.03 891 4
0.88 892 4
1.14 893 4
0.82 894 4
1.02 895 4
0.80 896 4
1.18 897 4
0.56 898 4
0.62 899 4
1.09 900 4
0.70 901 4
0.67 902 4
0.61 903 4
0.80 904 4
0.56 905 4
0.85 906 4
0.57 907 4
0.60 908 4
0.80 909 4
0.91 910 4
0.97 911 4
0.69 912 4
0.69 913 4
0.95 914 4
0.68 915 4
0.74 916 4
0.93 917 4
0.83 918 4
0.62 919 4
0.63 920 4
0.72 921 4
0.62 922 4
0.58 923 4
0.54 924 4
0.95 925 4
0.52 926 4
0.52 927 4
0.68 928 4
0.73 929 4
0.68 930 4
0.61 931 4
0.76 932 4
0.54 933 4
0.73 934 4
0.64 935 4
0.52 936 4
0.63 937 4
0.73 938 4
0.76 939 4
0.67 940 4
0.75 941 4
0.59 942 4
0.40 943 4
0.89 944 4
0.80 945 4
0.96 946 4
0.74 947 4
0.82 948 4
0.82 949 4
0.76 950 4
0.92 951 4
0.75 952 4
0.63 953 4
0.87 954 4
0.45 955 4
-0.15 956 4
0.67 957 4
0.73 958 4
0.42 959 4
1.04 960 4
0.75 961 4
0.63 962 4
0.79 963 4
0.75 964 4
